,Song,Artist
0,Flowers,Miley Cyrus
1,Kill Bill,SZA
2,Last Night,Morgan Wallen
3,Unholy,Sam Smith & Kim Petras
4,Creepin',"Metro Boomin, The Weeknd & 21 Savage"
5,Cuff It,Beyonce
6,Anti-Hero,Taylor Swift
7,Die For You,The Weeknd
8,I'm Good (Blue),David Guetta & Bebe Rexha
9,As It Was,Harry Styles
10,Rich Flex,Drake & 21 Savage
11,Just Wanna Rock,Lil Uzi Vert
12,Thought You Should Know,Morgan Wallen
13,"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice
14,Made You Look,Meghan Trainor
15,Under The Influence,Chris Brown
16,Golden Hour,JVKE
17,You Proof,Morgan Wallen
18,Rock And A Hard Place,Bailey Zimmerman
19,Something In The Orange,Zach Bryan
20,Thank God,Kane Brown With Katelyn Brown
21,Bad Habit,Steve Lacy
22,"Going, Going, Gone",Luke Combs
23,Escapism,RAYE Featuring 070 Shake
24,Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown"
25,Lavender Haze,Taylor Swift
26,Calm Down,Rema & Selena Gomez
27,Players,Coi Leray
28,Shirt,SZA
29,Sure Thing,Miguel
30,The Kind Of Love We Make,Luke Combs
31,Heart Like A Truck,Lainey Wilson
32,"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira
33,Snooze,SZA
34,Until I Found You,Stephen Sanchez
35,Wait For U,Future Featuring Drake & Tems
36,I Like You (A Happier Song),Post Malone Featuring Doja Cat
37,I Wrote The Book,Morgan Wallen
38,Bebe Dame,Fuerza Regida X Grupo Frontera
39,Tomorrow 2,GloRilla & Cardi B
40,About Damn Time,Lizzo
41,Wait In The Truck,HARDY Featuring Lainey Wilson
42,She Had Me At Heads Carolina,Cole Swindell
43,Nobody Gets Me,SZA
44,What My World Spins Around,Jordan Davis
45,Unstoppable,Sia
46,One Thing At A Time,Morgan Wallen
47,Whiskey On You,Nate Smith
48,Dawns,Zach Bryan Featuring Maggie Rogers
49,Love Again,The Kid LAROI
50,Everything I Love,Morgan Wallen
51,Lift Me Up,Rihanna
52,Que Vuelvas,Carin Leon X Grupo Frontera
53,Low,SZA
54,Tennessee Orange,Megan Moroney
55,X Si Volvemos,Karol G x Romeo Santos
56,Bloody Mary,Lady Gaga
57,Handle On You,Parker McCollum
58,What He Didn't Do,Carly Pearce
59,Freestyle,Lil Baby
60,Wild As Her,Corey Kent
61,Spin Bout U,Drake & 21 Savage
62,You Didn't,Brett Young
63,Growin' Up And Gettin' Old,Luke Combs
64,Nonsense,Sabrina Carpenter
65,Here With Me,d4vd
66,The Color Violet,Tory Lanez
67,AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano"
68,10:35,Tiesto Featuring Tate McRae
69,La Bachata,Manuel Turizo
70,Forget Me,Lewis Capaldi
71,Shut Up My Moms Calling,Hotel Ugly
72,Blind,SZA
73,OMG,NewJeans
74,No Se Va,Grupo Frontera
75,Love You Better,Future
76,La Jumpa,Arcangel & Bad Bunny
77,PRC,Peso Pluma X Natanael Cano
78,That's What Tequila Does,Jason Aldean
79,Love Language,SZA
80,Tennessee Fan,Morgan Wallen
81,Ditto,NewJeans
82,Watch The World Burn,Falling In Reverse
83,Human,Cody Johnson
84,In Ha Mood,Ice Spice
85,Back End,Finesse2Tymes
86,Do It Again,NLE Choppa & 2Rare
87,Hey Mor,Ozuna Featuring Feid
88,Too Many Nights,Metro Boomin Featuring Don Toliver & Future
89,Ghost In The Machine,SZA Featuring Phoebe Bridgers
90,Fin de Semana,Junior H X Oscar Maydon
91,Snap,Rosa Linn
92,California Breeze,Lil Baby
93,I'm Not Here To Make Friends,Sam Smith
94,Gato de Noche,Nengo Flow & Bad Bunny
95,Yandel 150,Yandel & Feid
96,Heart To Heart,Mac DeMarco
97,Next Thing You Know,Jordan Davis
98,Never Gonna Not Dance Again,P!nk
99,Open Arms,SZA Featuring Travis Scott
